year_read,work_id,sentiment,score
2018,1008111,anger,17
2018,1008111,anticipation,10
2018,1008111,disgust,13
2018,1008111,fear,25
2018,1008111,joy,20
2018,1008111,sadness,20
2018,1008111,surprise,5
2018,1008111,trust,23
2018,1041162,anger,22
2018,1041162,anticipation,30
2018,1041162,disgust,20
2018,1041162,fear,31
2018,1041162,joy,23
2018,1041162,sadness,28
2018,1041162,surprise,11
2018,1041162,trust,41
2018,1107396,anger,8
2018,1107396,anticipation,14
2018,1107396,disgust,8
2018,1107396,fear,7
2018,1107396,joy,8
2018,1107396,sadness,15
2018,1107396,surprise,4
2018,1107396,trust,16
2018,1112418,anger,12
2018,1112418,anticipation,5
2018,1112418,disgust,7
2018,1112418,fear,13
2018,1112418,joy,9
2018,1112418,sadness,7
2018,1112418,surprise,3
2018,1112418,trust,13
2018,1122661,anger,16
2018,1122661,anticipation,25
2018,1122661,disgust,15
2018,1122661,fear,24
2018,1122661,joy,28
2018,1122661,sadness,25
2018,1122661,surprise,21
2018,1122661,trust,30
2018,14863741,anger,21
2018,14863741,anticipation,24
2018,14863741,disgust,8
2018,14863741,fear,22
2018,14863741,joy,20
2018,14863741,sadness,15
2018,14863741,surprise,5
2018,14863741,trust,37
2018,1683551,anger,22
2018,1683551,anticipation,32
2018,1683551,disgust,20
2018,1683551,fear,30
2018,1683551,joy,29
2018,1683551,sadness,25
2018,1683551,surprise,13
2018,1683551,trust,34
2018,17613051,anger,18
2018,17613051,anticipation,23
2018,17613051,disgust,10
2018,17613051,fear,25
2018,17613051,joy,15
2018,17613051,sadness,20
2018,17613051,surprise,14
2018,17613051,trust,21
2018,249001,anger,11
2018,249001,anticipation,8
2018,249001,disgust,5
2018,249001,fear,17
2018,249001,joy,7
2018,249001,sadness,5
2018,249001,surprise,3
2018,249001,trust,11
2018,24946895,anger,21
2018,24946895,anticipation,25
2018,24946895,disgust,10
2018,24946895,fear,30
2018,24946895,joy,19
2018,24946895,sadness,29
2018,24946895,surprise,7
2018,24946895,trust,24
2018,25384096,anger,13
2018,25384096,anticipation,12
2018,25384096,disgust,15
2018,25384096,fear,20
2018,25384096,joy,10
2018,25384096,sadness,17
2018,25384096,surprise,3
2018,25384096,trust,23
2018,25384114,anger,23
2018,25384114,anticipation,32
2018,25384114,disgust,19
2018,25384114,fear,36
2018,25384114,joy,16
2018,25384114,sadness,29
2018,25384114,surprise,12
2018,25384114,trust,21
2018,26115977,anger,31
2018,26115977,anticipation,26
2018,26115977,disgust,23
2018,26115977,fear,34
2018,26115977,joy,25
